11338151,945159,3121131,13474076,178247,13832924,10573643,10334097,15033948,14145835,
12617011,10757631,14658038,5129633,7506784,9216975,2174839,6517504,8700780,1001960,
10430180,4356925,12636855,15882180,5337738,16272994,14885215,3730269,3579981,1668964,
7501485,8112460,10615824,10149597,13965485,6498649,4831628,5637803,2807638,4865336,
11512458,7293636,11649935,13146028,3351211,13542574,2641834,11085949,11005799,3841021,
13221568,10107096,12620911,15714089,8081720,2341976,9098334,15417931,2687572,11010717,
8628621,5131188,11332213,1350632,2349933,12312854,1450984,6893942,5351168,6554513,
14360524,6389528,2826095,1478950,1561616,11890834,9548997,4343514,15004867,2792077,
14515438,13933437,5201693,12104825,14852243,4581683,14320686,5242910,15453900,13174378,
2392555,9845062,15734259,9530043,14990390,2000912,8507145,8064013,8725200,14430486,
14777758,9758166,13371551,6080869,5347851,7769697,10720485,3140659,4144043,3553671,
726690,11146304,14650167,8889399,2609455,9964256,5003154,13102955,14738580,14204545,
4679913,8732147,9917357,16274479,3825201,167514,7075501,16286065,12147213,4782867,
12489590,9277952,7353109,6170572,5859880,740887,9181468,5091206,3840126,2848250,
11478610,2256215,9286208,9610305,12561351,4696679,2718043,16006557,5584701,9614557,
8131622,4730196,6834133,12105700,9805298,2797599,12664253,8532517,215352,5755757,
14101237,2607736,5192018,12950138,5796153,11113708,16427394,10397857,507168,9262802,
539669,8551113,6688257,11272463,10969457,4086746,2030807,16079889,13106136,12225592,
4146828,4679324,1781938,2472986,9571380,8283312,13297178,10462508,15160746,2600972,
11473837,4057581,15312657,5912558,4493883,15444133,16155784,15131766,14986040,7947040,
1127015,3157275,14953745,2630695,13893549,5727892,14906061,8474644,7913363,920016,
13114731,7437399,16469092,6650144,8948201,4660913,6619755,5660749,8538380,16104345,
889129,9731072,10772205,879103,10435802,227307,16074838,15298217,11646605,3965795,
4460979,2601322,4547814,9357705,2712004,10199610,5166514,73405,5962137,8245290,
14747988,6778579,9943322,4628257,8392966,13280667,12900334,14632635,11343573,13804127,
1058402,8835857,2912059,4933432,5377784,10035560,4360681,14855756,10527180,3707265,
14378950,6670479,13677361,15240518,9809893,3036706,7216109,14245077,4538724,9980825,
5018091,1699492,2461779,3309259,12094673,489684,14242216,2088501,13719776,11586738,
14609762,7728572,9044046,10964911,7717798,129480,4684835,3292963,721380,14786737,
7845828,11463064,14048788,2908948,12682998,3344036,15891283,15595328,13278039,13768399,
15718317,6169907,10158094,10124216,4144890,9574457,6613157,14508817,6701635,15083765,
9262065,10961224,10889442,8003130,6697338,3230195,3957094,14540587,4676836,12781457,
6345907,3972813,12840952,16444890,8832403,15782766,15191630,13559588,1587461,2568911,
196830,6650878,16518917,2070324,4003164,1070828,14602115,294762,2194868,9083991,
4333378,11956522,15003794,15825437,14295586,5787205,7054094,13561506,10086304,436816,
13810497,1889846,7300553,8085156,10809873,6606090,3968314,3840177,374963,5872850,
3796625,11828049,9008423,13957747,7026866,1706602,7573575,14194190,2250454,4581222,
7392383,10030172,11482763,1409894,2914752,3483073,10303070,5571057,11826825,11032250,
433716,2801348,14281845,7383133,16157728,11619837,1140607,14857112,5071851,12384131,
2547006,4045670,6625641,14979105,14697221,5486813,10932958,3778144,4845903,11745249,
4102828,10452274,13659684,4902420,7896301,11319021,1038198,14890079,12628876,1312600,
9565274,15477769,15225066,5839689,975034,10171894,16076954,1361675,7448220,16071277,
1550994,4842052,15854441,12743494,10300968,16045043,4594520,6292386,7099888,4392611,
6143477,2894055,9007291,2923738,4164124,7024655,11537629,8638922,9470116,10775153,
11994815,6849707,981093,15225206,2678647,12130587,2282748,7844234,8672634,5284573,
3892326,2175829,12540607,11084678,4542127,3444488,15512676,16262216,2332375,11060775,
15975048,15536710,11397993,1536089,7469572,2471261,1129514,14032664,100990,1161911,
15181320,2760464,6639396,13931894,9324645,14157034,10945313,7112761,14532399,5270230,
8244844,3275936,8655637,11816312,8154905,8185653,11702411,13302303,1856768,9828417,
4207577,7138055,12881221,11033673,15257536,9462757,3802904,96328,1233459,1971509,
12653728,7386288,4033771,643695,11522822,7261802,6796030,338378,13812031,12732004,
7237422,14389346,4215622,15471867,8036292,8962166,2418076,1413053,13950466,13263037,
1793059,10198216,8834247,11941967,4655091,14222553,10430412,9533626,14303434,10502216,
713011,8247323,6476798,11860380,9341692,15057580,1148931,1431648,6012570,937872,
6370583,13848936,6467773,370264,694127,12280706,15149115,15999508,2283618,12987643,
10024919,11016175,13493451,16460910,2368582,14692,14523474,14244709,13020427,5183176,
2471932,11995802,16427361,13578808,13521622,4506448,9418485,10170217,12458877,8613382,
389031,14774995,8692463,8059268,12241635,4038287,5887545,6299712,11026276,3382153,
11691741,16306172,1566735,1333512,6342318,5564812,7095335,1652507,9815532,11025980,
10426482,15601381,9963759,7319312,7760832,6573147,2268112,10167132,4706050,3845928,
